record_id,episode_id,show_title,source,rule,detail,severity
REC00021,TBBT-S1E7,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00022,TBBT-S1E8,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00023,TBBT-S1E8,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00024,TBBT-S1E8,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00025,TBBT-S2E1,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00026,TBBT-S2E1,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00027,TBBT-S2E1,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00028,TBBT-S2E2,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00029,TBBT-S2E2,Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00030,TBBT-S2E2,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00031,TBBT-S2E3,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00032,TBBT-S2E3,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00033,TBBT-S2E3,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00034,TBBT-S2E4,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00035,TBBT-S2E4,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00036,TBBT-S2E4,the big bang theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00037,TBBT-S2E5,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00038,TBBT-S2E5,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00039,TBBT-S2E5,TBBT,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00040,TBBT-S2E6,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00041,TBBT-S2E6,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00042,TBBT-S2E6,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00043,TBBT-S2E7,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00044,TBBT-S2E7,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00045,TBBT-S2E7,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00046,TBBT-S2E8,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00047,TBBT-S2E8,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00048,TBBT-S2E8,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00049,TBBT-S3E1,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00050,TBBT-S3E1,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00051,TBBT-S3E1,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00052,TBBT-S3E2,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00053,TBBT-S3E2,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00054,TBBT-S3E2,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00055,TBBT-S3E3,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00056,TBBT-S3E3,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00057,TBBT-S3E3,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00058,TBBT-S3E4,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00059,TBBT-S3E4,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00060,TBBT-S3E4,Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00061,TBBT-S3E5,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00062,TBBT-S3E5,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00063,TBBT-S3E5,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00064,TBBT-S3E6,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00065,TBBT-S3E6,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00066,TBBT-S3E6,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00067,TBBT-S3E7,The Big Bang Theory,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00068,TBBT-S3E7,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00069,TBBT-S3E7,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00070,TBBT-S3E8,TBBT,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00071,TBBT-S3E8,The Big Bang Theory,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00072,TBBT-S3E8,The Big Bang Theory,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'TBBT' maps to multiple title spellings: ['Big Bang Theory', 'TBBT', 'The Big Bang Theory', 'the big bang theory']",Low
REC00073,B99-S1E1,Brooklyn Nine-Nine,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00074,B99-S1E1,Brooklyn Nine-Nine,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00075,B99-S1E1,Brooklyn Nine-Nine,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00076,B99-S1E2,Brooklyn Nine-Nine,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00077,B99-S1E2,Brooklyn Nine-Nine,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00078,B99-S1E2,Brooklyn Nine-Nine,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00079,B99-S1E3,Brooklyn Nine Nine,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00080,B99-S1E3,brooklyn nine-nine,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00081,B99-S1E3,Brooklyn Nine-Nine,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00082,B99-S1E4,Brooklyn Nine-Nine,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00083,B99-S1E4,Brooklyn Nine-Nine,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00084,B99-S1E4,Brooklyn 99,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00085,B99-S1E5,Brooklyn Nine-Nine,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00086,B99-S1E5,Brooklyn Nine-Nine,rotten_tomatoes,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00087,B99-S1E5,Brooklyn Nine-Nine,metacritic,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
REC00088,B99-S1E6,Brooklyn Nine-Nine,imdb,INCONSISTENT_SHOW_TITLE,"Show ID 'B99' maps to multiple title spellings: ['Brooklyn 99', 'Brooklyn Nine Nine', 'Brooklyn Nine-Nine', 'brooklyn nine-nine']",Low
